Code,Name,Market,Marcap
121600,나노신소재,KOSDAQ,805067498700
046890,서울반도체,KOSDAQ GLOBAL,804614520000
214320,이노션,KOSPI,804000000000
476060,온코닉테라퓨틱스,KOSDAQ,799632062400
005090,SGC에너지,KOSPI,798277048200
033640,네패스,KOSDAQ,797848389200
014620,성광벤드,KOSDAQ,796720920000
052400,코나아이,KOSDAQ,796612017700
023160,태광,KOSDAQ,788950881000
056080,유진로봇,KOSDAQ,787755192000
064960,SNT모티브,KOSPI,782938024000
253450,스튜디오드래곤,KOSDAQ GLOBAL,777012173300
001510,SK증권,KOSPI,774838534750
171090,선익시스템,KOSDAQ,770830363800
032190,다우데이타,KOSDAQ,767915000000
241710,코스메카코리아,KOSDAQ,765756000000
252990,샘씨엔에스,KOSDAQ,762960653630
100840,SNT에너지,KOSPI,761052814400
004490,세방전지,KOSPI,759528000000
003850,보령,KOSPI,748064445040
365340,성일하이텍,KOSDAQ,746840447000
060250,NHN KCP,KOSDAQ,744577727940
178920,PI첨단소재,KOSPI,742967946600
003160,디아이,KOSPI,735800000000
079160,CJ CGV,KOSPI,734357877475
009240,한샘,KOSPI,731905160800
348370,엔켐,KOSDAQ,729636066900
037460,삼지전자,KOSDAQ,719646820200
285130,SK케미칼,KOSPI,718763727300
053610,프로텍,KOSDAQ,711000000000
000370,한화손해보험,KOSPI,710939992350
002020,코오롱,KOSPI,708631632000
086900,메디톡스,KOSDAQ,692627365300
348210,넥스틴,KOSDAQ GLOBAL,692530030500
044490,태웅,KOSDAQ,692255382600
174900,앱클론,KOSDAQ,690343663400
00104K,CJ4우(전환),KOSPI,689766758400
053800,안랩,KOSDAQ,685392769600
336570,원텍,KOSDAQ,685291941900
005880,대한해운,KOSPI,682610624100
009520,포스코엠텍,KOSDAQ GLOBAL,681691048110
225570,넥슨게임즈,KOSDAQ,679676995680
006730,서부T&D,KOSDAQ,677187806890
389470,인벤티지랩,KOSDAQ,674700795600
069260,TKG휴켐스,KOSPI,673270344360
036810,에프에스티,KOSDAQ,670060969550
059090,미코,KOSDAQ,670006398900
003620,KG모빌리티,KOSPI,667837209600
249420,일동제약,KOSPI,667567117200
484870,엠앤씨솔루션,KOSPI,667319310000
317450,명인제약,KOSPI,667220000000
005180,빙그레,KOSPI,665516425800
058650,세아홀딩스,KOSPI,662213039600
399720,가온칩스,KOSDAQ,661791379600
383310,에코프로에이치엔,KOSDAQ,661759104600
093050,LF,KOSPI,659362000000
114090,GKL,KOSPI,658144328800
002350,넥센타이어,KOSPI,655351454670
007700,F&F홀딩스,KOSPI,655165647250
112040,위메이드,KOSDAQ,654187267410
001680,대상,KOSPI,653115271250
082270,젬백스,KOSDAQ,644559595680
348340,뉴로메카,KOSDAQ,642831852000
005389,현대차3우B,KOSPI,640049300000
008060,대덕,KOSPI,638256799200
102940,코오롱생명과학,KOSDAQ,637512366100
002960,한국쉘석유,KOSPI,636350000000
293940,신한알파리츠,KOSPI,633726244520
001570,금양,KOSPI,633275240400
383800,LX홀딩스,KOSPI,630841306300
001060,JW중외제약,KOSPI,629884406500
327260,RF머트리얼즈,KOSDAQ,620144855000
006380,카프로,KOSPI,618539985360
003030,세아제강지주,KOSPI,616692727300
356680,엑스게이트,KOSDAQ,615112252600
102710,이엔에프테크놀로지,KOSDAQ,614376948000
253590,네오셈,KOSDAQ,613290912720
001270,부국증권,KOSPI,606638331000
014820,동원시스템즈,KOSPI,605917793800
033500,동성화인텍,KOSDAQ,605787778800
000400,롯데손해보험,KOSPI,604535151360
000640,동아쏘시오홀딩스,KOSPI,603234419200
089890,코세스,KOSDAQ,600375624400
477850,마키나락스,KOSDAQ,589399104000
272290,이녹스첨단소재,KOSDAQ GLOBAL,587159640050
001500,현대차증권,KOSPI,585558926680
278280,천보,KOSDAQ,584063606000
161000,애경케미칼,KOSPI,583784508000
089010,켐트로닉스,KOSDAQ,583596939600
017940,E1,KOSPI,583100000000
376300,디어유,KOSDAQ,579217106400
041830,인바디,KOSDAQ,576307705500
015750,성우하이텍,KOSDAQ,571200000000
039130,하나투어,KOSPI,570803994200
448900,한국피아이엠,KOSDAQ,570391512300
067160,SOOP,KOSDAQ GLOBAL,569565704850
005250,녹십자홀딩스,KOSPI,569511623100
019210,와이지-원,KOSDAQ,566832414720
122640,예스티,KOSDAQ,565448637600
475960,토모큐브,KOSDAQ,564104999100
452260,한화갤러리아,KOSPI,561223570950
016380,KG스틸,KOSPI,561049912170
093320,케이아이엔엑스,KOSDAQ,560712000000
005810,풍산홀딩스,KOSPI,560111794200
368770,파이버프로,KOSDAQ,557536198250
077360,덕산하이메탈,KOSDAQ,556603274500
017900,광전자,KOSPI,556260124800
425420,티에프이,KOSDAQ,555623145000
002840,미원상사,KOSPI,551000000000
332570,PS일렉트로닉스,KOSDAQ,541387015170
033160,엠케이전자,KOSDAQ,540746315100
041960,코미팜,KOSDAQ,539371413500
200710,에이디테크놀로지,KOSDAQ,538480280000
214430,아이쓰리시스템,KOSDAQ,534888138000
064290,인텍플러스,KOSDAQ,533854423000
460930,현대힘스,KOSDAQ,533725385130
393890,더블유씨피,KOSDAQ GLOBAL,531337360800
042000,카페24,KOSDAQ,528292992650
453340,현대그린푸드,KOSPI,527663288750
002240,고려제강,KOSPI,524070000000
104830,원익머트리얼즈,KOSDAQ,523232000000
000157,두산2우B,KOSPI,521534192000
045100,한양이엔지,KOSDAQ,521500000000
003545,대신증권우,KOSPI,521467506900
005420,코스모화학,KOSPI,520431489400
092190,서울바이오시스,KOSDAQ,519230095560
460860,동국제강,KOSPI,516419456970
094800,맵스리얼티,KOSPI,514302193740
003300,한일홀딩스,KOSPI,512442532080
019170,신풍제약,KOSPI,511080589500
125490,한라캐스트,KOSDAQ,509937857440
041190,우리기술투자,KOSDAQ,509880000000
271940,일진하이솔루스,KOSPI,508747791900
001530,DI동일,KOSPI,505461152400
217590,티엠씨,KOSPI,504774013750
230360,에코마케팅,KOSDAQ,495980128000
284740,쿠쿠홈시스,KOSPI,495864993000
003280,흥아해운,KOSPI,495275291940
389500,에스비비테크,KOSDAQ,495095969600
268280,미원에스씨,KOSPI,492500000000
024850,HLB이노베이션,KOSDAQ,491862396560
035890,서희건설,KOSDAQ,489492013410
0011T0,채비,KOSDAQ,489214738220
099190,아이센스,KOSDAQ,489161826090
060280,큐렉소,KOSDAQ,486865522000
030520,한글과컴퓨터,KOSDAQ GLOBAL,484803867200
025980,아난티,KOSDAQ,484558930200
377740,바이오노트,KOSPI,484468158240
290550,디케이티,KOSDAQ,484029766000
455900,엔젤로보틱스,KOSDAQ,483537859600
009410,태영건설,KOSPI,482095926360
009900,명신산업,KOSPI,481675820940
031430,신세계인터내셔날,KOSPI,479658060000
011930,신성이엔지,KOSPI,478596948750
372320,큐로셀,KOSDAQ,477332529300
020000,한섬,KOSPI,473567717700
014830,유니드,KOSPI,473055240000
016610,DB증권,KOSPI,471154917900
448730,삼성FN리츠,KOSPI,469818000000
330860,네패스아크,KOSDAQ,469694934750
008730,율촌화학,KOSPI,467728000000
005945,NH투자증권우,KOSPI,467056458000
003000,부광약품,KOSPI,465697247120
006405,삼성SDI우,KOSPI,463527204000
211050,인카금융서비스,KOSDAQ,463078375800
340570,티앤엘,KOSDAQ,461670400000
199800,툴젠,KOSDAQ,457979316100
006910,보성파워텍,KOSDAQ,456907363200
078160,메디포스트,KOSDAQ,456341578920
034950,한국기업평가,KOSDAQ,456321657000
078350,한양디지텍,KOSDAQ,455807021800
145990,삼양사,KOSPI,454823100900
493280,아이엠바이오로직스,KOSDAQ,454461311850
001200,유진투자증권,KOSPI,454303500420
018290,브이티,KOSDAQ,454243894000
064260,다날,KOSDAQ,452359832860
130660,한전산업,KOSPI,452162000000
025900,동화기업,KOSDAQ GLOBAL,446926399400
107640,한중엔시에스,KOSDAQ,444635601300
101930,인화정공,KOSDAQ,443639980100
085910,네오티스,KOSDAQ,443127212400
251970,펌텍코리아,KOSDAQ,441440000000
034310,NICE,KOSPI,441085884000
025320,시노펙스,KOSDAQ,440997337605
452280,한선엔지니어링,KOSDAQ,440771643000
004690,삼천리,KOSPI,436663950800
000070,삼양홀딩스,KOSPI,436291334200
381970,케이카,KOSPI,435481964160
010820,퍼스텍,KOSPI,432607090060
039440,에스티아이,KOSDAQ,430320554250
